Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,pppProject,mdbSupport,GDP,Inflation,Political Support,ProjectStatus
2,8,2,2,2,2,2014,1112,1,0,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,2,2,2020,439.33,0,1,2020,1,1,1.48E+02,3.211768038,31.132076,0
2,8,2,2,0,2,2013,195,0,11,2013,1,1,2.47E+02,6.204310666,36.966824,0
2,8,2,2,0,2,2012,125.7,0,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,1996,1.4,3,2,1996,1,1,8.50E+01,15.7576656,38.829788,0
2,8,2,2,0,2,2000,9.9,3,2,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,0,2,2007,5,3,2,2007,1,1,1.40E+02,3.641272991,32.850243,0
2,8,2,2,0,2,2013,540.8,2,2,2013,1,1,2.47E+02,6.204310666,36.966824,0
2,8,2,2,0,2,2010,17,3,2,2010,1,1,2.21E+02,5.038726901,45.971565,0
2,8,2,2,0,2,2003,2.7,3,11,2003,1,1,5.58E+01,14.71491972,41.708542,0
2,8,2,2,0,2,2001,12.9,3,11,2001,1,1,5.60E+01,6.840359025,0,0
2,8,2,2,0,2,2012,1.5,3,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2012,50.2,3,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2007,25.933709,3,11,2007,1,1,1.40E+02,3.641272991,32.850243,0
2,8,2,2,0,2,2009,5.8,3,2,2009,1,1,1.67E+02,4.888034799,51.184834,0
2,8,2,2,0,2,2010,4.4,3,2,2010,1,1,2.21E+02,5.038726901,45.971565,0
2,8,2,2,0,2,2015,48,3,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2007,25.933709,3,11,2007,1,1,1.40E+02,3.641272991,32.850243,0
2,8,2,2,0,2,2014,144.2,0,2,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,3,0,2014,191.75,0,5,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,3,0,2013,268.9,0,5,2013,1,1,2.47E+02,6.204310666,36.966824,0
2,8,2,2,3,0,2012,767.51,2,5,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2009,25.933709,3,2,2009,1,1,1.67E+02,4.888034799,51.184834,0
2,8,2,2,2,2,2008,155.7,0,0,2008,1,1,1.70E+02,5.678593903,33.653847,0
2,8,2,2,0,2,1996,25.933709,3,11,1996,1,1,8.50E+01,15.7576656,38.829788,0
2,8,2,2,0,2,2002,1.06,3,11,2002,1,1,5.10E+01,8.450164377,57.142857,0
2,8,2,2,0,2,2016,21.3,3,2,2016,1,1,1.80E+02,8.739143523,31.904762,0
2,8,2,2,0,2,2015,73.9,3,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,1,2,2006,382.6,0,9,2006,0,1,1.11E+02,4.183568129,35.265701,0
