Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,ProjectFinYear,pppProject,mdbSupport,GDP,Inflation,ProjectStatus
2,4,2,2,0,6,1992,104,0,3,1992,1992,1,1,22.9,16.071994,0
2,4,2,2,0,6,1993,9,3,3,1992,1993,1,1,23.7,-3.561096,0
2,4,2,2,2,3,1994,29.861862,3,7,1994,1994,0,1,25.7,2.84934,0
2,4,2,2,1,3,1993,127,0,4,1993,1993,0,1,23.7,-3.561096,3
2,4,2,2,1,3,1996,60,3,4,1993,1996,0,1,27.2,-0.052375,3
2,4,2,2,1,3,1992,274,0,4,1992,1992,0,1,22.9,16.071994,0
2,4,2,2,1,3,1993,135.7,0,4,1992,1993,0,1,23.7,-3.561096,0
2,4,2,2,1,3,1996,242,0,4,1992,1996,0,1,27.2,-0.052375,0
2,4,2,2,1,3,2007,29.861862,3,4,1992,2007,0,1,28.8,14.939925,0
2,4,2,2,0,3,1997,410,0,3,1997,1997,1,1,29.3,-0.463913,0
2,4,2,2,0,7,2004,3.4,3,12,1998,2004,1,1,16.5,18.363354,0
2,4,2,2,0,3,1998,21.4,3,3,1997,1998,1,1,29.9,-1.70528,0
2,4,2,2,0,3,1999,19.2,3,3,1997,1999,1,1,28.4,-1.836558,0
2,4,2,2,0,3,2000,16.8,3,3,1997,2000,1,1,28.4,1.037287,0
2,4,2,2,0,3,2001,17.2,3,3,1997,2001,1,1,26.9,-1.095768,0
2,4,2,2,0,3,2002,10,3,3,1997,2002,1,1,9.772400425,30.555204,0
2,4,2,2,0,3,2005,29.861862,3,3,1997,2005,1,1,19.9,10.317511,0
2,4,2,2,0,3,2007,29.861862,3,3,1997,2007,1,1,28.8,14.939925,0
2,4,2,2,0,3,2008,29.861862,3,3,1997,2008,1,1,36.2,23.171165,0
2,4,2,2,0,3,2009,29.861862,3,3,1997,2009,1,1,33.3,15.377649,0
2,4,2,2,0,3,2010,29.861862,3,3,1997,2010,1,1,42.4,20.915124,0
2,4,2,2,0,8,1994,81.6,3,11,1994,1994,1,1,25.7,2.84934,1
2,4,2,2,2,3,2013,50,3,2,2013,2013,1,1,55.2,23.948798,0
2,4,2,2,0,8,1999,40,3,11,1994,1999,1,1,28.4,-1.836558,1
2,4,2,2,2,9,1996,32,3,1,1996,1996,1,1,27.2,-0.052375,0
2,4,2,2,0,11,2000,41,3,12,2000,2000,1,1,28.4,1.037287,1
2,4,2,2,0,11,2004,1.2,3,12,2000,2004,1,1,16.5,18.363354,1
2,4,2,2,0,8,1994,140,0,11,1994,1994,1,1,25.7,2.84934,1
2,4,2,2,2,3,1994,135,0,2,1994,1994,1,0,25.7,2.84934,0
2,4,2,2,0,8,1999,40,3,11,1994,1999,1,1,28.4,-1.836558,1
2,4,2,2,0,8,1994,106.8,0,11,1994,1994,1,1,25.7,2.84934,1
2,4,2,2,0,3,2008,29.861862,3,3,1997,2008,1,1,36.2,23.171165,0
2,4,2,2,0,3,2002,28.7,3,3,1992,2002,1,0,9.772400425,30.555204,3
2,4,2,2,0,6,1999,15.9,3,3,1992,1999,1,1,28.4,-1.836558,0
2,4,2,2,0,6,1993,6.6,3,3,1992,1993,1,1,23.7,-3.561096,0
2,4,2,2,0,6,1994,6.7,3,3,1992,1994,1,1,25.7,2.84934,0
2,4,2,2,0,6,1995,4.5,3,3,1992,1995,1,1,25.8,3.165123,0
2,4,2,2,0,6,1996,6.6,3,3,1992,1996,1,1,27.2,-0.052375,0
2,4,2,2,2,3,2018,60.15,3,2,2018,2018,1,0,52.5,42.033669,0
2,4,2,2,2,3,2018,80,3,2,2018,2018,1,0,52.5,42.033669,0
2,4,2,2,1,3,2019,165,0,4,2019,2019,0,1,44.8,49.195579,0
2,4,2,2,0,3,2022,120,0,8,2022,2022,1,1,63.1,69.47124,0
2,4,2,2,0,3,1998,54.7,3,3,1992,1998,1,0,29.9,-1.70528,3
2,4,2,2,2,4,2023,175,0,8,2023,2023,1,1,64.1,133.839867,0
2,4,2,2,2,3,2023,120,0,8,2023,2023,1,1,64.1,133.839867,0
2,4,2,2,0,3,1993,105.1,0,3,1992,1993,1,0,23.7,-3.561096,3
2,4,2,2,0,3,1994,212.2,0,3,1992,1994,1,0,25.7,2.84934,3
2,4,2,2,0,3,1995,515.8,2,3,1992,1995,1,0,25.8,3.165123,3
2,4,2,2,0,8,1999,40,3,11,1994,1999,1,1,28.4,-1.836558,1
2,4,2,2,0,3,2008,106.9,0,3,1992,2008,1,0,36.2,23.171165,3
2,4,2,2,0,3,2009,108.9,0,3,1992,2009,1,0,33.3,15.377649,3
2,4,2,2,1,3,1992,22.15,3,4,1992,1992,0,1,22.9,16.071994,0
2,4,2,2,1,3,1995,10,3,4,1992,1995,0,1,25.8,3.165123,0
2,4,2,2,0,3,1996,94,3,3,1992,1996,1,0,27.2,-0.052375,3
2,4,2,2,0,3,1993,71.8,3,3,1992,1993,1,0,23.7,-3.561096,3
2,4,2,2,2,3,2020,160,0,7,2020,2020,0,1,38.6,40.083088,0
2,4,2,2,0,3,1999,6,3,3,1996,1999,1,1,28.4,-1.836558,0
2,4,2,2,0,3,1995,156,0,3,1992,1995,1,0,25.8,3.165123,3
2,4,2,2,2,3,2022,90,3,8,2022,2022,1,1,63.1,69.47124,0
2,4,2,2,0,7,1994,30,3,12,1994,1994,1,0,25.7,2.84934,0
2,4,2,2,2,3,2004,77,3,2,2004,2004,1,1,16.5,18.363354,0
2,4,2,2,0,11,2002,67,3,3,2002,2002,1,1,9.772400425,30.555204,0
2,4,2,2,0,0,2009,5.89,3,3,2009,2009,1,1,33.3,15.377649,0
2,4,2,2,3,9,2010,29.861862,3,6,2010,2010,1,1,42.4,20.915124,0
2,4,2,2,0,6,1994,16.3,3,3,1992,1994,1,1,25.7,2.84934,0
2,4,2,2,3,9,2010,29.861862,3,6,2010,2010,1,1,42.4,20.915124,0
2,4,2,2,3,9,2010,29.861862,3,6,2010,2010,1,1,42.4,20.915124,0
2,4,2,2,3,9,2010,29.861862,3,6,2010,2010,1,1,42.4,20.915124,0
2,4,2,2,3,9,2010,29.861862,3,6,2010,2010,1,1,42.4,20.915124,0
2,4,2,2,3,9,2010,29.861862,3,6,2010,2010,1,1,42.4,20.915124,0
2,4,2,2,3,9,2010,29.861862,3,6,2010,2010,1,1,42.4,20.915124,0
2,4,2,2,3,9,2010,29.861862,3,6,2010,2010,1,1,42.4,20.915124,0
2,4,2,2,0,3,1992,428,0,3,1992,1992,1,0,22.9,16.071994,3
2,4,2,2,2,3,2018,2,3,8,2018,2018,1,1,52.5,42.033669,0
2,4,2,2,2,3,2019,144,0,7,2019,2019,0,1,44.8,49.195579,0
2,4,2,2,0,3,1996,164,0,3,1992,1996,1,0,27.2,-0.052375,3
2,4,2,2,2,3,2017,60,3,9,2017,2017,1,1,64.4,26.006379,0
2,4,2,2,2,3,2019,62,3,2,2019,2019,1,1,44.8,49.195579,0
2,4,2,2,0,3,1997,54.7,3,3,1992,1997,1,0,29.3,-0.463913,3
2,4,2,2,0,3,1994,20.28,3,3,1994,1994,1,1,25.7,2.84934,0
2,4,2,2,1,3,1992,8.5,3,4,1992,1992,0,1,22.9,16.071994,0
2,4,2,2,0,3,1999,54.7,3,3,1992,1999,1,0,28.4,-1.836558,3
2,4,2,2,0,6,1998,16.1,3,3,1992,1998,1,1,29.9,-1.70528,0
2,4,2,2,0,6,1996,12,3,3,1992,1996,1,1,27.2,-0.052375,0
2,4,2,2,0,3,2000,131,0,3,1992,2000,1,0,28.4,1.037287,3
2,4,2,2,0,6,1997,16,3,3,1992,1997,1,1,29.3,-0.463913,0
2,4,2,2,0,3,2001,192,0,3,1992,2001,1,0,26.9,-1.095768,3
2,4,2,2,0,6,1995,13.8,3,3,1992,1995,1,1,25.8,3.165123,0
2,4,2,2,0,3,2003,30,3,3,1992,2003,1,0,12.8,10.495703,3
2,4,2,2,2,3,2019,171,0,7,2019,2019,0,1,44.8,49.195579,0
2,4,2,2,0,3,2004,42.5,3,3,1992,2004,1,0,16.5,18.363354,3
2,4,2,2,0,6,2005,29.861862,3,3,1992,2005,1,1,19.9,10.317511,0
2,4,2,2,0,3,2005,44.5,3,3,1992,2005,1,0,19.9,10.317511,3
2,4,2,2,0,6,2006,29.861862,3,3,1992,2006,1,1,23.3,13.741052,0
2,4,2,2,0,3,2006,70.7,3,3,1992,2006,1,0,23.3,13.741052,3
2,4,2,2,0,6,2007,29.861862,3,3,1992,2007,1,1,28.8,14.939925,0
2,4,2,2,0,3,2007,110,0,3,1992,2007,1,0,28.8,14.939925,3
2,4,2,2,0,6,1993,8.5,3,3,1992,1993,1,1,23.7,-3.561096,0
2,4,2,2,0,3,2010,99.6,3,3,1992,2010,1,0,42.4,20.915124,3
2,4,2,2,0,6,1995,5.3,3,3,1992,1995,1,1,25.8,3.165123,0
2,4,2,2,0,9,1993,489.3,0,3,1993,1993,1,0,23.7,-3.561096,0
2,4,2,2,0,11,1991,75,3,3,1991,1991,1,1,19,140.502379,0
2,4,2,2,0,3,1994,33.9,3,3,1994,1994,1,1,25.7,2.84934,0
2,4,2,2,1,3,2007,69,3,10,1992,2007,0,1,28.8,14.939925,0
2,4,2,2,1,3,1996,60,3,10,1992,1996,0,1,27.2,-0.052375,0
2,4,2,2,1,3,1992,151.2,0,10,1992,1992,0,1,22.9,16.071994,0
2,4,2,2,2,4,2023,350,0,8,2023,2023,1,1,64.1,133.839867,0
2,4,2,2,2,4,2023,350,0,8,2023,2023,1,1,64.1,133.839867,0
2,4,2,2,2,3,2018,108,0,2,2018,2018,1,0,52.5,42.033669,0
2,4,2,2,2,3,2017,50,3,2,2017,2017,1,1,64.4,26.006379,0
2,4,2,2,2,3,2017,175,0,2,2017,2017,1,0,64.4,26.006379,0
