Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,pppProject,mdbSupport,GDP,Inflation,Political Support,ProjectStatus
2,9,1,0,0,4,1996,29.8,3,12,1996,1,1,0.7396949,12.425487,34.920635,0
2,9,1,0,0,4,1996,32.3,3,12,1996,1,0,0.7396949,12.425487,34.920635,0
2,9,1,0,0,0,1996,100,0,11,1996,1,1,0.7396949,12.425487,34.920635,1
2,9,1,0,0,4,1997,6.6,3,11,1997,1,1,0.7925737,4.708444,22.613066,3
2,10,2,2,2,3,2016,63.7,3,1,2016,1,1,180,8.739144,33.962265,0
2,10,2,2,3,1,2008,489.18,0,6,2008,1,1,170,5.678594,42.857143,0
2,10,2,2,3,0,2015,32.081882,3,6,2015,1,1,180,9.029901,31.132076,0
2,10,2,2,0,0,2013,21.2,3,3,2013,1,1,247,6.204311,20.754717,0
2,10,2,2,3,1,2012,1182.33,1,6,2012,1,1,247,5.403499,29.245283,0
2,10,2,2,0,3,1998,3,3,12,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,3,0,2021,20,3,6,2021,1,1,167,8.30166,0,0
2,10,2,2,0,3,1998,11.9,3,12,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,0,5,1998,1278.6,1,3,1998,1,0,86.4,3.195076,36.407768,0
2,10,2,2,0,5,1999,32.081882,3,3,1998,1,0,60,4.858447,37.864079,0
2,10,2,2,0,5,2000,32.081882,3,3,1998,1,0,65.5,7.044141,35.265701,0
2,10,2,2,0,5,2001,32.081882,3,3,1998,1,0,56,6.840359,32.850243,0
2,10,2,2,0,5,2002,32.081882,3,3,1998,1,0,51,8.450164,33.653847,0
2,10,2,2,0,5,2003,32.081882,3,3,1998,1,0,55.8,14.71492,51.184834,0
2,10,2,2,0,5,1998,409.7,0,3,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,0,5,1999,32.081882,3,3,1998,1,1,60,4.858447,37.864079,0
2,10,2,2,0,5,2000,32.081882,3,3,1998,1,1,65.5,7.044141,35.265701,0
2,10,2,2,0,5,2001,32.081882,3,3,1998,1,1,56,6.840359,32.850243,0
2,10,2,2,0,5,2002,32.081882,3,3,1998,1,1,51,8.450164,33.653847,0
2,10,2,2,0,3,2015,380.7,0,12,1997,1,1,180,9.029901,31.132076,0
2,10,2,2,0,3,2011,117.4,0,12,1997,1,1,262,6.63645,29.523809,0
2,10,2,2,0,3,2010,117.4,0,12,1997,1,1,221,5.038727,31.904762,0
2,10,2,2,0,5,1999,32.081882,3,12,1998,1,1,60,4.858447,37.864079,2
2,10,2,2,0,5,1998,16,3,12,1998,1,1,86.4,3.195076,36.407768,2
2,10,2,2,0,3,2000,11.1,3,12,2000,1,1,65.5,7.044141,35.265701,0
2,10,2,2,0,5,2007,366,0,12,2007,1,1,140,3.641273,36.966824,0
2,10,2,2,0,5,2009,805.5,2,3,2009,1,1,167,4.888035,34.285713,0
2,10,2,2,2,5,2013,683,2,1,2013,1,1,247,6.204311,20.754717,0
2,10,2,2,0,5,2013,1784,1,3,2013,1,1,247,6.204311,20.754717,0
2,10,2,2,0,5,2021,315,0,12,2021,1,1,167,8.30166,0,0
2,10,2,2,0,0,2014,2263,4,3,2014,1,1,246,6.32904,31.132076,0
2,10,2,2,0,3,2016,146,0,3,2016,1,1,180,8.739144,33.962265,0
2,10,2,2,2,3,2017,321,0,8,2017,1,0,206,3.446373,0,0
2,10,2,2,0,5,2021,294,0,12,2021,1,1,167,8.30166,0,0
2,10,2,2,0,5,2021,570,2,12,2021,1,1,167,8.30166,0,0
2,10,2,2,0,5,2021,316,0,12,2021,1,1,167,8.30166,0,0
2,10,2,2,0,0,2022,477,0,8,2022,1,1,195,9.280106,0,0
2,10,2,2,0,5,2003,32.081882,3,12,1998,1,1,55.8,14.71492,51.184834,2
2,10,2,2,0,5,2002,32.081882,3,12,1998,1,1,51,8.450164,33.653847,2
2,10,2,2,0,5,2001,32.081882,3,12,1998,1,1,56,6.840359,32.850243,2
2,10,2,2,0,5,2000,32.081882,3,12,1998,1,1,65.5,7.044141,35.265701,2
2,10,2,2,0,5,1999,32.081882,3,12,1998,1,1,60,4.858447,37.864079,2
2,10,2,2,0,5,1998,107.9,0,12,1998,1,1,86.4,3.195076,36.407768,2
2,10,2,2,0,5,2003,32.081882,3,12,1998,1,1,55.8,14.71492,51.184834,2
2,10,2,2,0,5,2002,32.081882,3,12,1998,1,1,51,8.450164,33.653847,2
2,10,2,2,0,5,2001,32.081882,3,12,1998,1,1,56,6.840359,32.850243,2
2,10,2,2,0,5,1998,116.2,0,12,1998,1,1,86.4,3.195076,36.407768,2
2,10,2,2,0,5,2003,32.081882,3,12,1998,1,1,55.8,14.71492,51.184834,2
2,10,2,2,0,5,2002,32.081882,3,12,1998,1,1,51,8.450164,33.653847,2
2,10,2,2,0,5,2001,32.081882,3,12,1998,1,1,56,6.840359,32.850243,2
2,10,2,2,0,5,2000,32.081882,3,12,1998,1,1,65.5,7.044141,35.265701,2
2,10,2,2,0,5,1999,32.081882,3,12,1998,1,1,60,4.858447,37.864079,2
2,10,2,2,0,5,1998,113.5,0,12,1998,1,1,86.4,3.195076,36.407768,2
2,10,2,2,0,5,1998,57,3,12,1998,1,1,86.4,3.195076,36.407768,2
2,10,2,2,0,5,2019,1222.17,1,3,2019,1,1,187,3.732976,0,0
2,10,2,2,2,5,2019,701.14,2,1,2019,1,1,187,3.732976,0,0
2,10,2,2,3,1,2015,379.72,0,6,2015,1,1,180,9.029901,31.132076,0
2,10,2,2,3,1,2016,174.42,0,6,2016,1,1,180,8.739144,33.962265,0
2,10,2,2,0,3,2009,50,3,3,2009,1,1,167,4.888035,34.285713,0
2,10,2,2,2,3,2001,15,3,7,2001,0,1,56,6.840359,32.850243,0
2,10,2,2,3,3,2023,3.3,3,5,2023,1,1,217,4.593563,0,0
2,10,2,2,4,5,2022,273.22,0,8,2022,1,1,195,9.280106,0,0
2,10,2,2,0,0,2014,80.4,3,3,2014,1,1,246,6.32904,31.132076,0
2,10,2,2,0,5,2014,1659.1,1,3,2014,1,1,246,6.32904,31.132076,0
2,10,2,2,0,5,2022,61.4,3,8,2022,1,1,195,9.280106,0,0
2,10,2,2,0,5,2013,1423.7,1,3,2013,1,1,247,6.204311,20.754717,0
2,10,2,2,2,3,2013,84.7,3,0,2013,1,1,247,6.204311,20.754717,0
2,10,2,2,2,3,2013,73.4,3,0,2013,1,1,247,6.204311,20.754717,0
2,10,2,2,2,3,2013,69.2,3,0,2013,1,1,247,6.204311,20.754717,0
2,10,2,2,2,3,2013,67,3,0,2013,1,1,247,6.204311,20.754717,0
2,10,2,2,0,4,1996,38,3,12,1996,1,1,85,15.757666,57.142857,0
2,10,2,2,2,3,1998,83,3,1,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,3,3,1998,7.9,3,5,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,3,3,2000,0.5,3,5,1998,1,1,65.5,7.044141,35.265701,0
2,10,2,2,0,3,1998,27.9,3,12,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,0,4,2019,839.7,2,8,2019,1,1,187,3.732976,0,0
2,10,2,2,2,4,2015,509.8,2,1,2015,1,1,180,9.029901,31.132076,0
2,10,2,2,2,3,2005,186,0,7,2005,0,1,89.2,6.869537,41.232227,0
2,10,2,2,2,3,2009,25,3,7,2005,0,1,167,4.888035,34.285713,0
2,10,2,2,2,3,2014,63.8,3,7,2005,0,1,246,6.32904,31.132076,0
2,10,2,2,0,0,2012,9366,4,3,2012,1,1,247,5.403499,29.245283,0
2,10,2,2,2,0,2012,309.2,0,1,2012,1,1,247,5.403499,29.245283,0
2,10,2,2,3,3,2022,188,0,6,2022,1,1,195,9.280106,0,0
2,10,2,2,2,3,2011,800,2,2,2011,1,0,262,6.63645,29.523809,0
2,10,2,2,0,0,2011,32.081882,3,12,2011,1,1,262,6.63645,29.523809,0
2,10,2,2,0,5,2014,1829.3,1,3,2014,1,1,246,6.32904,31.132076,0
2,10,2,2,0,5,2018,267,0,8,2018,1,1,192,3.66485,0,0
2,10,2,2,3,1,2010,418.46,0,6,2010,1,1,221,5.038727,31.904762,0
2,10,2,2,3,1,2008,409.35,0,6,2008,1,1,170,5.678594,42.857143,0
2,10,2,2,3,0,2021,20,3,6,2021,1,1,167,8.30166,0,0
2,10,2,2,0,0,2022,324.37,0,8,2022,1,1,195,9.280106,0,0
2,10,2,2,0,5,2023,518,2,8,2023,1,1,217,4.593563,0,0
2,10,2,2,3,5,2010,32.081882,3,6,2010,1,1,221,5.038727,31.904762,0
2,10,2,2,3,5,2010,32.081882,3,6,2010,1,1,221,5.038727,31.904762,0
2,10,2,2,3,5,2010,32.081882,3,6,2010,1,1,221,5.038727,31.904762,0
2,10,2,2,0,0,2022,28.54,3,9,2022,1,1,195,9.280106,0,0
2,10,2,2,0,5,2000,329,0,3,2000,1,1,65.5,7.044141,35.265701,0
2,10,2,2,0,5,2002,32.081882,3,3,2000,1,1,51,8.450164,33.653847,0
2,10,2,2,0,5,2001,32.081882,3,3,2000,1,1,56,6.840359,32.850243,0
2,10,2,2,0,5,1998,32.9,3,12,1998,1,1,86.4,3.195076,36.407768,2
2,10,2,2,3,3,2023,5.5,3,5,2023,1,1,217,4.593563,0,0
2,10,2,2,0,5,1998,66,3,12,1998,1,1,86.4,3.195076,36.407768,2
2,10,2,2,0,5,1995,760,2,3,1995,1,1,76.9,66.007034,0,0
2,10,2,2,2,3,2012,11,3,2,2001,1,1,247,5.403499,29.245283,0
2,10,2,2,2,3,2001,11.5,3,2,2001,1,1,56,6.840359,32.850243,0
2,10,2,2,2,3,2009,175,0,2,2004,1,1,167,4.888035,34.285713,0
2,10,2,2,0,5,2000,270.8,0,3,2000,1,1,65.5,7.044141,35.265701,0
2,10,2,2,2,3,2004,51.2,3,2,2004,1,1,66.9,6.597185,45.971565,0
2,10,2,2,3,3,2023,1.5,3,5,2023,1,1,217,4.593563,0,0
2,10,2,2,0,4,2007,793.9,2,3,2007,1,1,140,3.641273,36.966824,0
2,10,2,2,0,3,2012,51.2,3,12,2002,1,1,247,5.403499,29.245283,0
2,10,2,2,0,3,2009,10,3,12,2002,1,1,167,4.888035,34.285713,0
2,10,2,2,0,3,2002,63.5,3,12,2002,1,1,51,8.450164,33.653847,0
2,10,2,2,1,3,2009,680,2,4,1997,0,1,167,4.888035,34.285713,0
2,10,2,2,1,3,1997,47,3,4,1997,0,1,88.3,6.926713,41.708542,0
